η	ω	spec_lanczos
0.0	0.1	0.011922382277035064
0.0	0.2	0.01220428262565323
0.0	0.3	0.012496770094289284
0.0	0.4	0.012800404258580386
0.0	0.5	0.013115783527651673
0.0	0.6	0.013443548522094393
0.0	0.7	0.013784385808035864
0.0	0.8	0.014139032031643193
0.0	0.9	0.014508278504797504
0.0	1.0	0.014892976300121761
0.0	1.1	0.015294041922236682
0.0	1.2	0.015712463632293387
0.0	1.3	0.016149308514769166
0.0	1.4	0.016605730389561965
0.0	1.5	0.017082978688999318
0.0	1.6	0.017582408439001097
0.0	1.7	0.018105491506936033
0.0	1.8	0.01865382930646181
0.0	1.9	0.01922916718279908
0.0	2.0	0.019833410741650556
0.0	2.1	0.020468644432817495
0.0	2.2	0.021137152757343885
0.0	2.3	0.02184144453706098
0.0	2.4	0.02258428077065159
0.0	2.5	0.0233687067045349
0.0	2.6	0.024198088874736103
0.0	2.7	0.025076158033541372
0.0	2.8	0.026007059069980916
0.0	2.9	0.026995409276182065
0.0	3.0	0.028046366615610885
0.0	3.1	0.02916571003149289
0.0	3.2	0.03035993431712201
0.0	3.3	0.03163636268465382
0.0	3.4	0.03300328095588182
0.0	3.5	0.03447009831201535
0.0	3.6	0.03604754085370439
0.0	3.7	0.03774788593887231
0.0	3.8	0.03958524752418761
0.0	3.9	0.041575925730988963
0.0	4.0	0.04373883786192546
0.0	4.1	0.04609605349916996
0.0	4.2	0.04867346367665818
0.0	4.3	0.0515016242471166
0.0	4.4	0.05461682764937827
0.0	4.5	0.05806247709335125
0.0	4.6	0.061890865391132234
0.0	4.7	0.06616550136589672
0.0	4.8	0.07096418633465283
0.0	4.9	0.07638313167090677
0.0	5.0	0.08254254217431967
0.0	5.1	0.0895942956776845
0.0	5.2	0.0977326720495767
0.0	5.3	0.10720960213436144
0.0	5.4	0.11835675659279804
0.0	5.5	0.13161822640191073
0.0	5.6	0.14760003214410544
0.0	5.7	0.1671471578591902
0.0	5.8	0.1914671070308594
0.0	5.9	0.22233510529505035
0.0	6.0	0.26244896918256494
0.0	6.1	0.3160726786368111
0.0	6.2	0.3902716532823299
0.0	6.3	0.497453020889937
0.0	6.4	0.6610573922470033
0.0	6.5	0.9297931996383282
0.0	6.6	1.4188465397328822
0.0	6.7	2.456475763321086
0.0	6.8	5.29784901830711
0.0	6.9	18.024298447474216
0.0	7.0	87.72993153883579
0.0	7.1	17.23272549253443
0.0	7.2	5.180378439102332
0.0	7.3	2.44488343238703
0.0	7.4	1.443770060087441
0.0	7.5	0.9761392860620336
0.0	7.6	0.7247157226087485
0.0	7.7	0.5776359192773133
0.0	7.8	0.48760687815973786
0.0	7.9	0.4320505585643422
0.0	8.0	0.39929481556515756
0.0	8.1	0.3830784250069501
0.0	8.2	0.3803195236495402
0.0	8.3	0.3887226505863883
0.0	8.4	0.408856760586514
0.0	8.5	0.44177688272644194
0.0	8.6	0.4899005620793813
0.0	8.7	0.5575721024791773
0.0	8.8	0.6519976795939337
0.0	8.9	0.7851666864308507
0.0	9.0	0.9777136528637284
0.0	9.1	1.2671750121974812
0.0	9.2	1.7273154558850792
0.0	9.3	2.519217619171827
0.0	9.4	4.050851595455629
0.0	9.5	7.612001534139288
