η	gene
0.0	-150.467188782033
0.036036036036036036	-150.46722912488178
0.07207207207207207	-150.46734973706316
0.10810810810810811	-150.4675493821582
0.14414414414414414	-150.4678260409556
0.18018018018018017	-150.4681769710697
0.21621621621621623	-150.46859878545388
0.25225225225225223	-150.46908754543136
0.2882882882882883	-150.46963886335078
0.32432432432432434	-150.47024800986907
0.36036036036036034	-150.47091002112208
0.3963963963963964	-150.47161980161027
0.43243243243243246	-150.47237221939957
0.46846846846846846	-150.4731621911207
0.5045045045045045	-150.47398475513825
0.5405405405405406	-150.47483513211336
0.5765765765765766	-150.47570877290295
0.6126126126126126	-150.47660139431363
0.6486486486486487	-150.47750900367703
0.6846846846846847	-150.47842791347702
0.7207207207207207	-150.47935474742525
0.7567567567567568	-150.48028643942084
0.7927927927927928	-150.48122022678584
0.8288288288288288	-150.48215363908508
0.8648648648648649	-150.48308448369005
0.9009009009009009	-150.48401082910448
0.9369369369369369	-150.48493098690668
0.972972972972973	-150.4858434930096
1.009009009009009	-150.48674708880012
1.045045045045045	-150.48764070258824
1.0810810810810811	-150.48852343169105
1.117117117117117	-150.4893945253773
1.1531531531531531	-150.4902533688271
1.1891891891891893	-150.49109946819522
1.2252252252252251	-150.49193243682245
1.2612612612612613	-150.49275198259755
1.2972972972972974	-150.4935578964453
1.3333333333333333	-150.49435004190087
1.3693693693693694	-150.4951283457112
1.4054054054054055	-150.49589278940164
1.4414414414414414	-150.49664340173334
1.4774774774774775	-150.49738025198627
1.5135135135135136	-150.498103443993
1.5495495495495495	-150.49881311085602
1.5855855855855856	-150.49950941028428
1.6216216216216217	-150.50019252048548
1.6576576576576576	-150.50086263655925
1.6936936936936937	-150.50151996733638
1.7297297297297298	-150.50216473261702
1.7657657657657657	-150.50279716076324
1.8018018018018018	-150.50341748660628
1.837837837837838	-150.50402594963242
1.8738738738738738	-150.50462279241486
1.90990990990991	-150.50520825926327
1.945945945945946	-150.5057825950646
1.981981981981982	-150.50634604429217
2.018018018018018	-150.50689885016234
2.054054054054054	-150.50744125392183
2.09009009009009	-150.50797349424695
2.126126126126126	-150.50849580674378
2.1621621621621623	-150.50900842353371
2.1981981981981984	-150.50951157291505
2.234234234234234	-150.51000547908993
2.27027027027027	-150.5104903619491
2.3063063063063063	-150.51096643690494
2.3423423423423424	-150.51143391476833
2.3783783783783785	-150.51189300166175
2.4144144144144146	-150.5123438989645
2.4504504504504503	-150.512786803284
2.4864864864864864	-150.51322190645345
2.5225225225225225	-150.51364939554463
2.5585585585585586	-150.5140694529015
2.5945945945945947	-150.51448225618577
2.630630630630631	-150.5148879784343
2.6666666666666665	-150.5152867881286
2.7027027027027026	-150.51567884926857
2.7387387387387387	-150.51606432145593
2.774774774774775	-150.51644335998134
2.810810810810811	-150.516816115916
2.8468468468468466	-150.5171827362061
2.8828828828828827	-150.51754336376962
2.918918918918919	-150.51789813759427
2.954954954954955	-150.51824719283695
2.990990990990991	-150.5185906609222
3.027027027027027	-150.51892866964266
3.063063063063063	-150.51926134325637
3.099099099099099	-150.5195888025848
3.135135135135135	-150.51991116510945
3.171171171171171	-150.52022854506689
3.2072072072072073	-150.52054105354193
3.2432432432432434	-150.52084879855997
3.279279279279279	-150.52115188517593
3.315315315315315	-150.5214504155633
3.3513513513513513	-150.52174448909886
3.3873873873873874	-150.52203420244723
3.4234234234234235	-150.52231964964204
3.4594594594594597	-150.5226009221658
3.4954954954954953	-150.52287810902695
3.5315315315315314	-150.52315129683515
3.5675675675675675	-150.52342056987428
3.6036036036036037	-150.52368601017344
3.6396396396396398	-150.5239476975758
3.675675675675676	-150.524205709805
3.7117117117117115	-150.52446012253023
3.7477477477477477	-150.52471100942887
3.7837837837837838	-150.5249584422469
3.81981981981982	-150.52520249085848
3.855855855855856	-150.52544322332213
3.891891891891892	-150.52568070593622
3.9279279279279278	-150.52591500329274
3.963963963963964	-150.5261461783284
4.0	-150.5263742923742
