η	ω	spec_lanczos
0.0	0.1	0.003545069930333099
0.0	0.3005025125628141	0.0036198153746831462
0.0	0.5010050251256282	0.0036969739828763386
0.0	0.7015075376884422	0.003776651808877832
0.0	0.9020100502512562	0.003858960853798089
0.0	1.1025125628140704	0.0039440194766112695
0.0	1.3030150753768843	0.004031952834538804
0.0	1.5035175879396985	0.00412289336293863
0.0	1.7040201005025126	0.004216981293234922
0.0	1.9045226130653266	0.004314365216665669
0.0	2.1050251256281407	0.004415202695666489
0.0	2.305527638190955	0.004519660928713903
0.0	2.506030150753769	0.004627917473995604
0.0	2.7065326633165827	0.004740161037954154
0.0	2.907035175879397	0.00485659233550055
0.0	3.107537688442211	0.004977425029514199
0.0	3.308040201005025	0.005102886758178023
0.0	3.5085427135678393	0.005233220259757837
0.0	3.7090452261306535	0.005368684605646214
0.0	3.909547738693467	0.005509556553874413
0.0	4.110050251256282	0.005656132036881658
0.0	4.3105527638190955	0.0058087277991498015
0.0	4.511055276381909	0.005967683202404675
0.0	4.711557788944724	0.006133362218496525
0.0	4.9120603015075375	0.006306155632858925
0.0	5.112562814070352	0.006486483484670561
0.0	5.313065326633166	0.006674797773588791
0.0	5.5135678391959795	0.006871585467278789
0.0	5.714070351758794	0.007077371849042005
0.0	5.914572864321608	0.007292724250788186
0.0	6.115075376884422	0.007518256223559694
0.0	6.315577889447236	0.007754632206007265
0.0	6.516080402010051	0.008002572760873043
0.0	6.716582914572864	0.00826286046096055
0.0	6.917085427135678	0.008536346519623029
0.0	7.117587939698493	0.008823958276935521
0.0	7.318090452261306	0.009126707671982473
0.0	7.518592964824121	0.009445700854787574
0.0	7.719095477386935	0.009782149119190203
0.0	7.919597989949748	0.010137381371517533
0.0	8.120100502512562	0.010512858390563082
0.0	8.320603015075378	0.010910189183882759
0.0	8.521105527638191	0.011331149805931553
0.0	8.721608040201005	0.011777705077879097
0.0	8.922110552763819	0.01225203374063256
0.0	9.122613065326632	0.012756557686285263
0.0	9.323115577889448	0.013293976054906958
0.0	9.523618090452262	0.013867305161153014
0.0	9.724120603015075	0.014479925438941157
0.0	9.924623115577889	0.01513563687614192
0.0	10.125125628140703	0.015838724773175782
0.0	10.325628140703518	0.01659403812421106
0.0	10.526130653266332	0.017407083520873987
0.0	10.726633165829146	0.018284138261323253
0.0	10.92713567839196	0.01923238737712352
0.0	11.127638190954773	0.02026009064945243
0.0	11.328140703517589	0.021376787508332995
0.0	11.528643216080402	0.02259355015744349
0.0	11.729145728643216	0.02392329860804698
