η	ω	spec_lanczos
0.0	-0.1	7.700421893976029e-5
0.0	0.10150753768844221	8.61368121668821e-5
0.0	0.30301507537688444	9.909598849994067e-5
0.0	0.5045226130653266	0.00011866099834850211
0.0	0.7060301507537688	0.00015072486032625634
0.0	0.907537688442211	0.0002096641907504834
0.0	1.1090452261306534	0.0003386647300366676
0.0	1.3105527638190955	0.0007213976561913549
0.0	1.5120603015075378	0.0029943998343641884
0.0	1.7135678391959799	0.028238225303244557
0.0	1.9150753768844222	0.001759320948077835
0.0	2.1165829145728643	0.0005661418782142526
0.0	2.3180904522613064	0.00030461733364758284
0.0	2.519597989949749	0.00021045176880596833
0.0	2.721105527638191	0.00016932283687366804
0.0	2.922613065326633	0.0001516137941407156
0.0	3.124120603015075	0.00014828672220881342
0.0	3.3256281407035178	0.000159107168458633
0.0	3.52713567839196	0.00019547603795968597
0.0	3.728643216080402	0.0003237711373979578
0.0	3.930150753768844	0.001675240417915484
0.0	4.131658291457287	0.0011992173067599708
0.0	4.333165829145728	0.0009663558491934794
0.0	4.534673366834171	0.006111360452700624
0.0	4.736180904522613	0.0030692295041401217
0.0	4.937688442211055	0.0007914260687487754
0.0	5.1391959798994975	0.002342983563545984
0.0	5.34070351758794	0.0036531523905911903
0.0	5.542211055276382	0.0006309925190841198
0.0	5.743718592964824	0.0002941800144267987
0.0	5.945226130653267	0.00029472184865133737
0.0	6.146733668341708	0.0008878398757335697
0.0	6.348241206030151	0.000264493532596432
0.0	6.549748743718593	0.0002651679233827822
0.0	6.751256281407035	0.00013570312651633453
0.0	6.952763819095478	0.00012124128535865721
0.0	7.154271356783919	0.0001160290945791469
0.0	7.355778894472362	0.00011367796381702982
0.0	7.557286432160804	0.00011279449111042467
0.0	7.758793969849246	0.00011282810677280992
0.0	7.960301507537689	0.00011350250943257636
0.0	8.16180904522613	0.00011466034472820788
0.0	8.363316582914573	0.00011620501250984475
0.0	8.564824120603015	0.00011807461462976189
0.0	8.766331658291458	0.00012023089196386893
0.0	8.967839195979899	0.00012266892214792344
0.0	9.169346733668341	0.00012528383700108778
0.0	9.370854271356784	0.0001281560945789106
0.0	9.572361809045226	0.00013125029576369754
0.0	9.773869346733669	0.00013456299102384726
0.0	9.975376884422111	0.00013809463198693808
0.0	10.176884422110552	0.00014184832887784282
0.0	10.378391959798995	0.00014582941727313384
0.0	10.579899497487437	0.0001500452124387566
0.0	10.78140703517588	0.00015450486363622365
0.0	10.982914572864322	0.00015921927762725392
0.0	11.184422110552763	0.00016420109513097338
0.0	11.385929648241206	0.00016946471044545843
0.0	11.587437185929648	0.00017502632824021447
0.0	11.78894472361809	0.00018090405407683523
0.0	11.990452261306533	0.00018711801707740474
0.0	12.191959798994976	0.00019369052461845593
0.0	12.393467336683416	0.00020064625015310864
0.0	12.594974874371859	0.00020801245636923351
0.0	12.796482412060302	0.0002158192569602451
0.0	12.997989949748744	0.0002240999213840022
0.0	13.199497487437187	0.00023289122817305732
0.0	13.401005025125627	0.0002422338736933678
0.0	13.60251256281407	0.00025217294478906626
0.0	13.804020100502512	0.00026275846556634864
0.0	14.005527638190955	0.0002740460307407994
0.0	14.207035175879398	0.0002860975405982325
0.0	14.408542713567838	0.00029898205582235096
0.0	14.61005025125628	0.0003127767943788699
0.0	14.811557788944723	0.00032756829751423426
0.0	15.013065326633166	0.0003434537979846481
0.0	15.214572864321608	0.00036054283121191
0.0	15.416080402010051	0.00037895913960428733
0.0	15.617587939698492	0.0003988429323608145
0.0	15.819095477386934	0.0004203535784632165
0.0	16.020603015075377	0.0004436728302778586
0.0	16.22211055276382	0.00046900870062511845
0.0	16.423618090452262	0.0004966001492065616
0.0	16.625125628140704	0.0005267227774888453
0.0	16.826633165829147	0.0005596957880895548
0.0	17.02814070351759	0.0005958905403623939
0.0	17.22964824120603	0.0006357411352336133
0.0	17.43115577889447	0.0006797575993520846
0.0	17.632663316582914	0.0007285424255981062
0.0	17.834170854271356	0.0007828114847809339
0.0	18.0356783919598	0.0008434206826260268
0.0	18.23718592964824	0.0009114002427096865
0.0	18.438693467336684	0.0009879992191757527
0.0	18.640201005025126	0.0010747438894358064
0.0	18.84170854271357	0.0011735152131134923
0.0	19.04321608040201	0.0012866528340251535
0.0	19.244723618090454	0.0014170965762056358
0.0	19.446231155778893	0.001568581753309413
0.0	19.647738693467335	0.0017459130760950315
0.0	19.849246231155778	0.001955355593625222
0.0	20.05075376884422	0.0022052036674415037
0.0	20.252261306532663	0.0025066273119958744
0.0	20.453768844221106	0.0028749623934686904
0.0	20.655276381909548	0.0033317329810421477
0.0	20.85678391959799	0.003907923906614725
0.0	21.058291457286433	0.004649474982407977
0.0	21.259798994974876	0.0056269109971488806
0.0	21.46130653266332	0.006953105565410614
0.0	21.662814070351757	0.008818133700179922
0.0	21.8643216080402	0.011563055884884463
0.0	22.065829145728642	0.01585192163950352
0.0	22.267336683417085	0.023126827788850023
0.0	22.468844221105527	0.03704169193728588
0.0	22.67035175879397	0.06932352767466525
0.0	22.871859296482413	0.1771075213262281
0.0	23.073366834170855	1.119318671658412
0.0	23.274874371859298	1.750233044857994
0.0	23.47638190954774	0.39229653348940086
0.0	23.67788944723618	1.0202271172595971
0.0	23.87939698492462	0.11032698989409796
0.0	24.080904522613064	0.047485863229332154
0.0	24.282412060301507	0.031116187513078413
0.0	24.48391959798995	0.03344505687998216
0.0	24.685427135678392	0.22096732728341645
0.0	24.886934673366834	0.052163313036601565
0.0	25.088442211055277	0.022603568272386368
0.0	25.28994974874372	0.052624616667935394
